Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,14-Feb-2025,27-Feb-2025,49705.30,49767.65,48908.10,49334.55,49288.00,49334.55,59166.00,875052.97,3178950.00,110520.00,49099.45
BANKNIFTY,14-Feb-2025,27-Mar-2025,49750.05,50049.80,49229.50,49627.25,49563.00,49627.25,9597.00,142591.24,833940.00,115800.00,49099.45
BANKNIFTY,14-Feb-2025,24-Apr-2025,50221.05,50390.00,49583.55,49990.75,49930.00,49990.75,2068.00,30961.39,61980.00,2040.00,49099.45
BANKNIFTY,17-Feb-2025,27-Feb-2025,49179.95,49517.75,48709.00,49462.15,49501.50,49462.15,54674.00,805693.80,3073830.00,-105120.00,49258.90
BANKNIFTY,17-Feb-2025,27-Mar-2025,49599.85,49800.00,49024.00,49759.05,49800.00,49759.05,7039.00,104292.08,858570.00,24630.00,49258.90
BANKNIFTY,17-Feb-2025,24-Apr-2025,49812.75,50141.95,49370.00,50086.85,50134.05,50086.85,2144.00,31991.49,68160.00,6180.00,49258.90
BANKNIFTY,18-Feb-2025,27-Feb-2025,49460.00,49460.00,48940.80,49208.05,49176.30,49208.05,42671.00,629221.13,3102660.00,28830.00,49087.30
BANKNIFTY,18-Feb-2025,27-Mar-2025,49794.35,49794.35,49260.65,49507.80,49500.00,49507.80,5568.00,82607.38,887580.00,29010.00,49087.30
BANKNIFTY,18-Feb-2025,24-Apr-2025,50064.25,50102.50,49602.00,49839.75,49835.00,49839.75,1341.00,20022.06,66330.00,-1830.00,49087.30
BANKNIFTY,19-Feb-2025,27-Feb-2025,49099.70,49750.00,48930.05,49630.55,49611.00,49630.55,54515.00,809481.39,3011760.00,-90900.00,49570.10
BANKNIFTY,19-Feb-2025,27-Mar-2025,49599.95,50025.00,49250.00,49912.45,49889.55,49912.45,7343.00,109706.72,920040.00,32460.00,49570.10
BANKNIFTY,19-Feb-2025,24-Apr-2025,49740.60,50355.50,49590.00,50255.55,50254.15,50255.55,1663.00,25007.94,75540.00,9210.00,49570.10
BANKNIFTY,20-Feb-2025,27-Feb-2025,49444.70,49563.20,49300.00,49473.30,49425.25,49473.30,31649.00,469400.54,3007140.00,-4620.00,49334.55
BANKNIFTY,20-Feb-2025,27-Mar-2025,49680.00,49849.95,49591.25,49756.30,49730.00,49756.30,7245.00,108060.63,1022970.00,102930.00,49334.55
BANKNIFTY,20-Feb-2025,24-Apr-2025,50147.55,50180.00,49942.70,50103.25,50060.00,50103.25,818.00,12286.07,75420.00,-120.00,49334.55
BANKNIFTY,21-Feb-2025,27-Feb-2025,49299.95,49387.90,48852.00,49031.40,48980.00,49031.40,57323.00,843537.47,2919060.00,-88080.00,48981.20
BANKNIFTY,21-Feb-2025,27-Mar-2025,49621.25,49685.45,49155.20,49316.15,49256.00,49316.15,16819.00,248915.14,1293060.00,270090.00,48981.20
BANKNIFTY,21-Feb-2025,24-Apr-2025,50247.25,50247.25,49524.90,49683.95,49615.00,49683.95,2051.00,30586.38,76140.00,720.00,48981.20
BANKNIFTY,24-Feb-2025,27-Feb-2025,48644.70,48913.95,48305.45,48793.90,48792.00,48793.90,52226.00,762057.56,2272740.00,-646320.00,48651.95
BANKNIFTY,24-Feb-2025,27-Mar-2025,48933.00,49170.85,48609.00,49068.85,49077.55,49068.85,30040.00,440987.31,1870230.00,577170.00,48651.95
BANKNIFTY,24-Feb-2025,24-Apr-2025,49299.95,49510.00,48968.15,49399.85,49399.90,49399.85,3000.00,44333.09,102030.00,25890.00,48651.95
BANKNIFTY,25-Feb-2025,27-Feb-2025,48806.85,48917.75,48635.00,48723.45,48676.30,48723.45,36974.00,540609.00,1857150.00,-415590.00,48608.35
BANKNIFTY,25-Feb-2025,27-Mar-2025,48850.25,49179.40,48850.25,48992.75,48944.95,48992.75,31415.00,461856.27,2468340.00,598110.00,48608.35
BANKNIFTY,25-Feb-2025,24-Apr-2025,49394.85,49533.55,49259.00,49329.95,49293.00,49329.95,1584.00,23448.75,113850.00,11820.00,48608.35
BANKNIFTY,27-Feb-2025,27-Feb-2025,48749.95,48984.65,48730.00,48785.50,48741.00,48743.80,55069.00,807572.02,777840.00,-1079310.00,48743.80
BANKNIFTY,27-Feb-2025,27-Mar-2025,49000.15,49270.75,48926.30,49034.60,48976.75,49034.60,52622.00,775755.45,3311490.00,843150.00,48743.80
BANKNIFTY,27-Feb-2025,24-Apr-2025,49349.90,49589.00,49276.20,49370.25,49300.00,49370.25,3181.00,47223.24,148080.00,34230.00,48743.80
BANKNIFTY,28-Feb-2025,27-Mar-2025,48734.00,48943.65,48318.30,48628.25,48587.10,48628.25,59175.00,862763.81,3338130.00,26640.00,48344.70
BANKNIFTY,28-Feb-2025,24-Apr-2025,49100.05,49164.80,48666.00,48946.60,48931.00,48946.60,8733.00,128105.68,264810.00,116730.00,48344.70
BANKNIFTY,28-Feb-2025,29-May-2025,49273.35,49410.00,48906.85,49180.90,49171.70,49180.90,5307.00,78225.11,139020.00,139020.00,48344.70
BANKNIFTY,03-Mar-2025,27-Mar-2025,48775.75,48856.40,48116.70,48396.00,48410.00,48396.00,46530.00,675266.37,3328470.00,-9660.00,48114.30
BANKNIFTY,03-Mar-2025,24-Apr-2025,49017.75,49152.20,48455.00,48719.45,48720.25,48719.45,8452.00,123400.05,404100.00,139290.00,48114.30
BANKNIFTY,03-Mar-2025,29-May-2025,49399.95,49399.95,48690.05,48921.00,48955.80,48921.00,6114.00,89650.16,285090.00,146070.00,48114.30
BANKNIFTY,04-Mar-2025,27-Mar-2025,48250.00,48619.85,48110.30,48472.25,48492.00,48472.25,45280.00,657772.65,3065280.00,-263190.00,48245.20
BANKNIFTY,04-Mar-2025,24-Apr-2025,48500.50,48918.30,48435.80,48773.65,48789.90,48773.65,5497.00,80383.17,491100.00,87000.00,48245.20
BANKNIFTY,04-Mar-2025,29-May-2025,48676.35,49080.00,48676.35,48983.70,49000.00,48983.70,3972.00,58312.26,373110.00,88020.00,48245.20
BANKNIFTY,05-Mar-2025,27-Mar-2025,48492.00,48879.95,48433.15,48714.70,48730.00,48714.70,39634.00,579093.43,2995710.00,-69570.00,48489.95
BANKNIFTY,05-Mar-2025,24-Apr-2025,48839.70,49152.30,48785.60,48997.80,49019.95,48997.80,4965.00,72987.16,575910.00,84810.00,48489.95
BANKNIFTY,05-Mar-2025,29-May-2025,49022.00,49320.60,48986.80,49187.85,49195.45,49187.85,3648.00,53842.01,460860.00,87750.00,48489.95
BANKNIFTY,06-Mar-2025,27-Mar-2025,48894.70,49099.90,48526.00,48780.35,48786.00,48780.35,42657.00,623979.37,2835930.00,-159780.00,48627.70
BANKNIFTY,06-Mar-2025,24-Apr-2025,49218.00,49389.00,48845.05,49081.35,49075.35,49081.35,2955.00,43488.59,600240.00,24330.00,48627.70
BANKNIFTY,06-Mar-2025,29-May-2025,49384.85,49557.65,49025.15,49243.15,49253.50,49243.15,1490.00,22007.83,484500.00,23640.00,48627.70
BANKNIFTY,07-Mar-2025,27-Mar-2025,48626.00,48896.35,48510.00,48680.15,48625.00,48680.15,44600.00,651515.91,2843100.00,7170.00,48497.50
BANKNIFTY,07-Mar-2025,24-Apr-2025,49022.55,49179.15,48825.00,48971.40,48945.20,48971.40,2298.00,33777.12,602520.00,2280.00,48497.50
BANKNIFTY,07-Mar-2025,29-May-2025,49342.30,49350.00,49005.00,49150.65,49120.00,49150.65,1056.00,15582.96,484410.00,-90.00,48497.50
BANKNIFTY,10-Mar-2025,27-Mar-2025,48489.90,48702.95,48220.00,48315.35,48251.00,48315.35,37278.00,542274.18,2850570.00,7470.00,48216.80
BANKNIFTY,10-Mar-2025,24-Apr-2025,48969.85,48999.00,48553.45,48637.65,48587.55,48637.65,7346.00,107297.73,762510.00,159990.00,48216.80
BANKNIFTY,10-Mar-2025,29-May-2025,49093.05,49187.95,48745.35,48813.45,48758.00,48813.45,6125.00,89777.91,629550.00,145140.00,48216.80
BANKNIFTY,11-Mar-2025,27-Mar-2025,47999.95,48150.00,47751.60,47999.50,48060.00,47999.50,44149.00,635265.03,2999970.00,149400.00,47853.95
